"id","name","code","account_type","reconcile","currency_id","tag_ids","name@zh_CN"
"mjb_l10n_cn_22211220","EP - Abroad Input and non refundable VAT","22211220","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应交税费 - 国外进项税(不可抵扣)"
"mjb_l10n_cn_22310000","Dividends payable","22310000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付股利"
"mjb_l10n_cn_22310100","SP - Dividend to be paid","22310100","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付股利 - 股利"
"mjb_l10n_cn_22320000","Interest payable","22320000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付利息"
"mjb_l10n_cn_22410000","Other accounts payable","22410000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","其他应付款"
"mjb_l10n_cn_22410100","Other accounts payable - Payment from director","22410100","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","其他应付款 - 向股东借款(NRC)"
"mjb_l10n_cn_22410200","Other accounts payable - Office rental utility","22410200","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","其他应付款 - 房租等费用"
"mjb_l10n_cn_22410300","Other accounts payable - staff reimbursement","22410300","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","其他应付款 - 员工报销"
"mjb_l10n_cn_22410400","Other accounts payable - Majorbird HK","22410400","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","其他应付款 - Majorbird Limited(HK)"
"mjb_l10n_cn_22410500","Other accounts payable - Other company","22410500","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","其他应付款 - 其它公司"
"mjb_l10n_cn_22510000","To cope with policy dividends","22510000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付保单红利"
"mjb_l10n_cn_22610000","Dividend payable for reinsurance","22610000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","应付分保账款"
"mjb_l10n_cn_23110000","Agents selling securities","23110000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","代理买卖证券款"
"mjb_l10n_cn_23120000","Agent underwrite securities","23120000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","代理承销证券款"
"mjb_l10n_cn_23130000","Agent payment security","23130000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","代理兑付证券款"
"mjb_l10n_cn_23140000","Agency business liabilities","23140000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","受托代销商品款(代理业务负债)"
"mjb_l10n_cn_24010000","Deferred income","24010000","liability_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_current_liabilities","递延收益"
"mjb_l10n_cn_25010000","Long term Loan & Debt (LD)","25010000","liability_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_longterm_loan","长期借款"
"mjb_l10n_cn_25010100","LD - Intra - Long term","25010100","liability_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_longterm_loan","长期借款 - 集团内部"
"mjb_l10n_cn_25010200","LD - Non intra - Long term","25010200","liability_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_longterm_loan","长期借款 - 集团外部"
